loop_size,tick,time
3027658,21499248,6.950618
4113850,28806212,9.312929
4745396,33231268,10.743531
1568474,10984920,3.551379
2178405,15253192,4.931294
3244029,22718716,7.344867
3578079,25055576,8.100364
4493655,31466156,10.172878
1931392,13525092,4.372606
3695984,25887492,8.369319
3517437,24631164,7.963153
4330218,30320744,9.802571
4251987,29773240,9.625565
4093203,28670584,9.269081
1113810,7796680,2.520634
3361628,24366408,7.877559
3470328,24317376,7.861707
4055055,28411036,9.185170
4097729,28694716,9.276883
2137157,14966056,4.838464
1307013,9152952,2.959111
4520034,31647772,10.231594
1690888,11841676,3.828365
1715946,12017040,3.885059
2439143,17084300,5.523283
2772170,19410632,6.275377
2514841,17614152,5.694582
3590088,25139912,8.127629
1402742,9823188,3.175796
2302845,16123856,5.212776
4477759,31351916,10.135945
3430401,24846144,8.032655
1416696,9922448,3.207886
4223155,29578764,9.562692
3998875,28001868,9.052888
2595101,18171664,5.874824
2467185,17278528,5.586077
2576955,18042704,5.833131
2088757,14625588,4.728392
3398577,23797752,7.693715
1272939,8915368,2.882302
4606194,32261092,10.429877
2728796,19107412,6.177347
4524926,31687152,10.244325
3699398,25906476,8.375456
2842606,19903640,6.434764
2886555,21038260,6.801582
2169726,15193380,4.911957
1897661,13287412,4.295765
1984284,13903516,4.494949
3306884,23151968,7.484935
2204675,15442084,4.992362
1504319,10570288,3.417330
3997772,28266076,9.138305
2920622,20448616,6.610953
2943463,20615048,6.664760
1769943,12393688,4.006828
4435463,31059516,10.041413
1533552,10740184,3.472257
2172685,15214256,4.918706
1738309,12173436,3.935621
1011311,7079184,2.288671
4603087,32234616,10.421318
2155006,15089056,4.878229
4234467,29655936,9.587641
3601962,25224768,8.155063
3750108,26260196,8.489813
1701652,12059112,3.898661
1178917,8252428,2.667976
4838865,33883560,10.954415
4100230,29508208,9.539881
1451857,10168748,3.287514
4445060,31133496,10.065330
1829026,13380560,4.325880
4976783,34850388,11.266986
3144458,22017300,7.118102
3671633,25717572,8.314385
2863339,20047248,6.481192
4314185,31036732,10.034047
4569295,31995980,10.344168
3847623,26940956,8.709900
2621069,18360804,5.935972
1773970,12421580,4.015845
4351943,30477060,9.853107
1618842,11335924,3.664857
3694592,26695320,8.630486
2295406,16074544,5.196834
2388785,16725028,5.407132
3130056,21918428,7.086137
